"","Day_of_Week","Director","Genre","Movie_Title","Release_Date","Studio","Adjusted_Gross","Budget","Gross_rev","IMDb_Rating","MovieLens_Rating","Overseas_rev","Overseas_Perc","Profit","Profit_perc","Runtime_min","US_rev","US_perc","adjusted_Gross2","Adjusted_Gross2","MovieLens_Rating2","Profit_log","Profit_perc_log"
"347","Friday","Andrew Adamson","action","The Chronicles of Narnia: Prince Caspian","16/05/2008","Buena Vista Studios",463.6,225,419.7,6.6,3.31,278,66.3,194.7,86.5,150,141.6,33.7,463.6,2.66614342729156,6.62,2.28936595152003,1.93701610746481
"348","Wednesday","Steven Spielberg","biography","Catch Me If You Can","25/12/2002","DreamWorks",465.4,52,352.1,8,3.85,187.5,53.2,300.1,577.1,141,164.6,46.8,465.4,2.66782637895071,7.7,2.47726599542485,2.76125107430866
"349","Wednesday","James L. Brooks","comedy","As Good as It Gets","24/12/1997","Sony",465.5,50,314.2,7.8,3.79,165.7,52.7,264.2,528.4,139,148.5,47.3,465.5,2.66791968531736,7.58,2.42193281327851,2.72296280894249
"350","Friday","Brett Ratner","comedy","Rush Hour 2","3/8/2001","New Line Cinema",466.3,90,347.3,6.6,3.23,121.2,34.9,257.3,285.9,90,226.2,65.1,466.3,2.66866541545449,6.46,2.41043978621035,2.45621415535799
"351","Friday","Wolfgang Petersen","action","Air Force One","25/07/1997","Sony",467,85,315.2,6.4,3.33,142.2,45.1,230.2,270.8,124,173,54.9,467,2.66931688056611,6.66,2.36210531929377,2.43264866001311
"352","Friday","Ron Howard","thriller","Ransom","8/11/1996","Buena Vista Studios",469.1,70,309.5,5.4,2.88,173,55.9,239.5,342.1,121,136.5,44.1,469.1,2.67126543294716,5.76,2.37930551775058,2.53415307418506
"353","Friday","J. J. Abrams","action","Mission: Impossible III","5/5/2006","Paramount Pictures",469.4,150,397.9,6.8,3.31,263.8,66.3,247.9,165.3,126,134,33.7,469.4,2.67154308526257,6.62,2.39427652676782,2.21827285357145
"354","Friday","Phil Lord, Chris Miller","animation","The LEGO Movie","7/2/2014","WB",470.9,60,468.8,7.8,3.75,211,45,408.8,681.3,100,257.8,55,470.9,2.67292869044272,7.5,2.61151088712666,2.8333383889394
"355","Friday","Ridley Scott","thriller","Hannibal","9/2/2001","MGM",472.3,87,351.7,8.7,3.15,186.6,53.1,264.7,304.3,131,165.1,46.9,472.3,2.6742179455767,6.3,2.42275394130135,2.48330195235817
"356","Friday","Steven Spielberg","sci-fi","Minority Report","21/06/2002","Fox",473.8,102,358.4,7.7,3.66,226.3,63.1,256.4,251.4,145,132.1,36.9,473.8,2.67559505638675,7.32,2.40891802084678,2.40036527334994
"357","Friday","Kenneth Branagh","action","Thor","6/5/2011","Paramount Pictures",475,150,449.3,7,3.51,268.3,59.7,299.3,199.5,115,181,40.3,475,2.67669360962487,7.02,2.47610671684019,2.29994290002277
"358","Friday","Paul Verhoeven","action","Total Recall","1/6/1990","Sony",475.4,65,261.3,7.5,3.18,141.9,54.3,196.3,302,113,119.4,45.7,475.4,2.67705917739216,6.36,2.29292029960001,2.48000694295715
"359","Thursday","Jonathan Demme","thriller","The Silence of the Lambs","14/02/1991","Orion",476.1,20,272.7,8.6,4.18,142,52.1,252.7,1263.5,118,130.7,47.9,476.1,2.67769818147451,8.36,2.40260524191991,3.10157524625593
"360","Friday","Ron Howard","comedy","How the Grinch Stole Christmas","17/11/2000","Universal",476.6,123,345.1,6,2.91,85.1,24.7,222.1,180.6,104,260,75.3,476.6,2.67815403801044,5.82,2.34654855854847,2.25671774597749
"361","Wednesday","J. J. Abrams","action","Star Trek Into Darkness","15/05/2013","Paramount Pictures",477.1,190,467.4,7.8,3.82,238.6,51.1,277.4,146,132,228.8,48.9,477.1,2.67860941655893,7.64,2.44310645673727,2.16435285578444
"362","Wednesday","John Cornell, Mark Turnbull","action","Crocodile Dundee II","25/05/1988","Paramount Pictures",481.6,14,239.6,5.5,2.57,130.3,54.4,225.6,1611.4,108,109.3,45.6,481.6,2.68268647824977,5.14,2.3533390953113,3.20720335930803
"363","Friday","Eric Leighton, Ralph Zondag","animation","Dinosaur","19/05/2000","Buena Vista Studios",483.1,127.5,349.8,6.4,3.12,212.1,60.6,222.3,174.4,82,137.7,39.4,483.1,2.68403703748652,6.24,2.34693946269899,2.24154648059655
"364","Wednesday","Stephen Herek","animation","101 Dalmatians (1996)","27/11/1996","Buena Vista Studios",486.1,75,320.7,5.6,3.1,184.5,57.5,245.7,327.6,103,136.2,42.5,486.1,2.68672562107454,6.2,2.39040515648008,2.51534389308838
"365","Friday","Tim Burton","action","Planet of the Apes (2001)","27/07/2001","Fox",486.4,100,362.2,5.7,2.74,182.2,50.3,262.2,262.2,119,180,49.7,486.4,2.68699356626468,5.48,2.41863268735407,2.41863268735407
"366","Friday","Jonathan Liebesman","action","Teenage Mutant Ninja Turtles (2014)","8/8/2014","Paramount Pictures",487.2,125,485,7.9,3.84,293.8,60.6,360,288,101,191.2,39.4,487.2,2.68770727962482,7.68,2.55630250076729,2.45939248775923
"367","Friday","Joel Zwick","comedy","My Big Fat Greek Wedding","19/04/2002","IFC",487.4,5,368.7,6.6,3.46,127.3,34.5,363.7,7274,95,241.4,65.5,487.4,2.68788552484871,6.92,2.56074330105471,3.86177329671869
"368","Friday","Rob Cohen","action","Fast and Furious","22/06/2001","Universal",487.7,38,363.2,6.7,2.88,208.1,57.3,325.2,855.8,106,155.1,42.7,487.7,2.68815275559157,5.76,2.51215053692203,2.93237228214791
"369","Friday","Rich Moore","animation","Wreck-It Ralph","2/11/2012","Buena Vista Studios",488.1,165,471.2,7.8,3.82,281.8,59.8,306.2,185.6,101,189.4,40.2,488.1,2.68850880765652,7.64,2.48600518636224,2.26857797188284
"370","Wednesday","Betty Thomas","animation","Alvin and the Chipmunks: The Squeakquel","23/12/2009","Fox",491.2,70,443.1,4.4,2.13,223.5,50.4,373.1,533,88,219.6,49.6,491.2,2.69125835813311,4.26,2.57182524904083,2.72672720902657
"371","Friday","Gary Trousdale, Kirk Wise","animation","The Hunchback of Notre Dame","21/06/1996","Buena Vista Studios",493,100,325.3,6.8,3.3,225.2,69.2,225.3,225.3,91,100.1,30.8,493,2.69284691927723,6.6,2.35276119172383,2.35276119172383
"372","Friday","Roger Spottiswoode","action","Tomorrow Never Dies","19/12/1997","MGM",493.4,110,333,6.5,3.23,207.7,62.4,223,202.7,119,125.3,37.6,493.4,2.69319914515372,6.46,2.34830486304816,2.30685374869301
"373","Wednesday","Joe Johnston","action","Jurassic Park III","18/07/2001","Universal",495.2,93,368.8,5.9,2.65,187.6,50.9,275.8,296.6,92,181.2,49.1,495.2,2.69478063601206,5.3,2.44059426183983,2.47217114669236
"374","Friday","Carlos Saldanha","animation","Rio 2","11/4/2014","Fox",502.5,130,500.2,6.4,3.08,368.7,73.7,370.2,284.8,101,131.5,26.3,502.5,2.70113606609253,6.16,2.56843641441689,2.45453998496482
"375","Friday","Sam Raimi","adventure","Oz The Great and Powerful","8/3/2013","Buena Vista Studios",503.6,200,493.3,6.4,2.99,258.4,52.4,293.3,146.7,130,234.9,47.6,503.6,2.70208572143583,5.98,2.46731206298055,2.16643011384328
"376","Friday","Michael Bay","action","The Rock","7/6/1996","Buena Vista Studios",507.9,75,335.1,7.4,3.7,201,60,260.1,346.8,136,134.1,40,507.9,2.7057782128286,7.4,2.41514035219587,2.54007908880417
"377","Friday","Paul Greengrass","action","The Bourne Ultimatum","3/8/2007","Universal",508,130,442.8,8.1,3.98,215.4,48.6,312.8,240.6,115,227.5,51.4,508,2.70586371228392,7.96,2.49526674438781,2.38129562300383
"378","Wednesday","Sam Mendes","drama","American Beauty","15/09/1999","DreamWorks",508.6,15,356.3,8.4,4.17,226.2,63.5,341.3,2275.3,122,130.1,36.5,508.6,2.70637635583969,8.34,2.53313628827864,3.35703866681945
"379","Friday","Rupert Wyatt","sci-fi","Rise of the Planet of the Apes","5/8/2011","Fox",509.4,93,481.8,8.6,4.07,305,63.3,388.8,418.1,105,176.8,36.7,509.4,2.7070589406276,8.14,2.58972625625424,2.62128016755041
"380","Friday","Mimi Leder","action","Deep Impact","8/5/1998","Paramount Pictures",509.9,80,349.5,6.1,2.95,209,59.8,269.5,336.9,120,140.5,40.2,509.9,2.70748501196747,5.9,2.43055876952276,2.52750101098112
"381","Friday","David Fincher","crime","Seven","22/09/1995","New Line Cinema",510.7,30,327.3,8.7,4.05,227.2,69.4,297.3,991,127,100.1,30.6,510.7,2.70816585785554,8.1,2.47319490920494,2.99607365448528
"382","Friday","Carlos Saldanha","animation","Rio","15/04/2011","Fox",512.3,90,484.6,7,3.36,341,70.4,394.6,438.4,96,143.6,29.6,512.3,2.70952435587634,6.72,2.59615708091617,2.64187054547631
"383","Friday","Michael Apted","action","The World Is Not Enough","19/11/1999","MGM",516.4,135,361.8,6.4,3.2,234.9,64.9,226.8,168,128,126.9,35.1,516.4,2.71298623359438,6.4,2.35564305022087,2.22530928172586
"384","Friday","Nancy Meyers","comedy","What Women Want","15/12/2000","Paramount Pictures",516.6,65,374.1,6.4,3.14,191.3,51.1,309.1,475.5,127,182.8,48.9,516.6,2.7131544018373,6.28,2.49009900506331,2.67715052127343
"385","Friday","Todd Phillips","comedy","The Hangover","5/6/2009","WB",518.2,35,467.5,7.8,3.77,190.2,40.7,432.5,1235.7,100,277.3,59.3,518.2,2.71449740864981,7.54,2.63598611180083,3.09191304667608
"386","Friday","Roger Michell","comedy","Notting Hill","28/05/1999","Universal",519.4,42,363.9,7,3.45,247.8,68.1,321.9,766.4,124,116.1,31.9,519.4,2.71550194529328,6.9,2.50772097668561,2.88445549607049
"387","Friday","Zack Snyder","action","300","9/3/2007","WB",523.2,60,456.1,7.8,3.68,245.5,53.8,396.1,660.2,117,210.6,46.2,523.2,2.71866773531621,7.36,2.59780484240429,2.81967551999429
"388","Friday","Jon Turteltaub","action","National Treasure: Book of Secrets","21/12/2007","Buena Vista Studios",524.7,130,457.4,6.5,3.3,237.4,51.9,327.4,251.9,124,220,48.1,524.7,2.71991106419834,6.6,2.51507867507592,2.40122816749811
"389","Friday","Joel Schumacher","action","Batman Forever","16/06/1995","WB",525.1,100,336.5,5.4,2.92,152.5,45.3,236.5,236.5,121,184,54.7,525.1,2.72024201828706,5.84,2.37383114507383,2.37383114507383
"390","Wednesday","Steven Spielberg","adventure","Hook","11/12/1991","TriStar",525.4,70,300.9,6.7,3.18,181.2,60.2,230.9,329.9,144,119.7,39.8,525.4,2.72049006845005,6.36,2.36342393291718,2.51838231554534
"391","Thursday","Bryan Singer","action","X2: X-Men United","24/04/2003","Fox",526.9,110,407.7,7.5,3.68,192.8,47.3,297.7,270.6,134,214.9,52.7,526.9,2.72172819857279,7.36,2.47377883464672,2.4323277922616
"392","Wednesday","Steven Spielberg","biography","Schindler's List","15/12/1993","Universal",528.8,25,321.3,8.9,4.31,225.2,70.1,296.3,1185.2,195,96.1,29.9,528.8,2.72329144647758,8.62,2.47173165148005,3.07379164280801
"393","Wednesday","John Lasseter","animation","A Bug's Life","25/11/1998","Buena Vista Studios",530.2,120,363.4,7.2,3.61,200.6,55.2,243.4,202.8,96,162.8,44.8,530.2,2.72443972339707,7.22,2.38632057389405,2.3070679506613
"394","Friday","Gareth Edwards","action","Godzilla (2014)","16/05/2014","WB",531.1,160,528.7,6.5,2.96,328,62,368.7,230.4,123,200.7,38,531.1,2.72517630141914,5.92,2.56667313760612,2.36248247475117
"395","Friday","Louis Leterrier","action","Clash of the Titans","2/4/2010","WB",537.9,125,493.2,5.8,2.8,330,66.9,368.2,294.6,106,163.2,33.1,537.9,2.73070154428185,5.6,2.566083784168,2.46923274250661
"396","Friday","Ron Howard","thriller","Angels & Demons","15/05/2009","Sony",538.6,150,485.9,6.7,3.28,352.6,72.6,335.9,223.9,138,133.4,27.4,538.6,2.73126634907549,6.56,2.52621000384166,2.35005409357903
"397","Friday","Kenneth Branagh","drama","Cinderella","13/03/2015","Buena Vista Studios",539,95,539,7.3,3.48,338.7,62.8,444,467.4,105,200.3,37.2,539,2.73158876518674,6.96,2.64738297011462,2.66968870805621
"398","Friday","M. Night Shyamalan","drama","Signs","2/8/2002","Buena Vista Studios",539.6,70.7,408.2,6.7,3.27,180.3,44.2,337.5,477.4,106,228,55.8,539.6,2.73207194099987,6.54,2.52827377716704,2.67888241467074
"399","Wednesday","Bobby Farrelly, Peter Farrelly","comedy","There's Something About Mary","15/07/1998","Fox",539.7,22,369.9,7.1,3.55,193.4,52.3,347.9,1581.4,119,176.5,47.7,539.7,2.73215241806521,7.1,2.54145442874759,3.19904173446148
"400","Friday","Chris Sanders, Dean DeBlois","animation","How to Train Your Dragon","26/03/2010","Pacific Data/DreamWorks",539.7,165,494.9,8.2,4.01,277.3,56,329.9,199.9,98,217.6,44,539.7,2.73215241806521,8.02,2.51838231554534,2.30081279411812
"401","Friday","Mike Babriel, Eric Goldberg","animation","Pocahontas","23/06/1995","Buena Vista Studios",540.1,75,346.1,6.6,2.94,204.5,59.1,271.1,361.5,81,141.6,40.9,540.1,2.73247417728119,5.88,2.43312951758049,2.55810830163055
"402","Friday","Brett Ratner","action","X-Men: The Last Stand","26/05/2006","Fox",541.9,150,459.4,6.8,3.36,225,49,309.4,206.3,104,234.4,51,541.9,2.73391915101239,6.72,2.49052030936335,2.31449922797315
"403","Friday","John Lasseter, Joe Ranft","animation","Cars","9/6/2006","Buena Vista Studios",545,70,462,7.2,3.51,217.9,47.2,392,560,117,244.1,52.8,545,2.73639650227664,7.02,2.59328606702046,2.7481880270062
"404","Friday","Richard Donner","action","Lethal Weapon 3","15/05/1992","WB",545.3,35,321.7,6.7,3.28,177,55,286.7,819.1,118,144.7,45,545.3,2.73663549768682,6.56,2.45742769294648,2.91333692593262
